time,gps_lat,gps_lon,gps_alt,t_u,t_l,t_i,rh_u,rh_l
2020-05-01,67.000518,-47.030266,1826.13,-9.4909,,-9.4939,76.2523,
2020-06-01,67.000525,-47.030374,1829.57,-4.2058,,-4.2115,81.7744,
2020-07-01,67.000533,-47.030462,1833.33,-1.9739,,-1.9768,83.9417,
2020-08-01,67.000529,-47.030569,1829.94,-5.6561,,-5.6516,81.313,
2020-09-01,67.000532,-47.030658,1832.8,-13.2014,,-13.1854,85.5103,
2020-10-01,67.000537,-47.030751,1836.57,-14.1214,,-14.137,85.9809,
2020-11-01,67.000537,-47.030849,1839.73,-22.0384,,-22.0501,82.5215,
2020-12-01,67.000537,-47.03097,1834.54,-20.7773,,-20.7774,82.5027,
2021-01-01,67.000542,-47.031088,1837.13,-21.6105,,-21.6142,79.5675,
2021-02-01,67.000545,-47.031204,1840.09,-24.5365,,-24.548,77.8955,
2021-03-01,67.000552,-47.031317,1838.93,-22.6961,,-22.7068,81.0391,
2021-04-01,67.000546,-47.031424,1839.66,-14.8288,,-14.8246,83.5732,
2021-05-01,67.000535,-47.03154,1840.68,-12.0086,,-12.0182,76.4711,
2021-06-01,67.000547,-47.031594,1841.17,-5.3806,,-5.394,85.2775,
2021-07-01,67.000566,-47.031696,1837.52,-2.5916,,-2.6061,87.6052,
2021-08-01,67.000569,-47.03177,1839.11,,,,87.4627,
2021-09-01,67.000589,-47.031899,1839.01,-16.4614,,,81.9104,
2021-10-01,67.000595,-47.031993,1838.76,-17.6928,,,80.1513,
2021-11-01,,,,-20.9179,,,89.903,
2021-12-01,,,,-20.7265,,,77.6141,
2022-01-01,,,,-23.139,,,80.1756,
2022-02-01,,,,-26.06,,,76.0865,
2022-03-01,,,,-24.0093,,,74.2215,
2022-04-01,,,,-14.0254,,,79.4845,
2022-05-01,,,,-13.2098,,,73.9882,
2022-06-01,,,,-6.9736,,,80.6888,
2022-07-01,,,,-1.72,,,84.9011,
2022-08-01,,,,-4.0634,,,87.4895,
2022-09-01,,,,-3.1165,,,92.3362,
2022-10-01,,,,-13.7943,,,86.9953,
2022-11-01,,,,-17.9519,,,81.2939,
2022-12-01,,,,-24.1436,,,77.6832,
2023-01-01,,,,-29.3446,,,77.1539,
2023-02-01,,,,-26.4398,,,78.5369,
2023-03-01,,,,-23.3454,,,72.6463,
2023-04-01,,,,-14.7713,,,75.5804,
2023-05-01,,,,-10.9873,,,78.8744,
2023-06-01,67.000733,-47.034043,1835.15,-6.0762,,,88.3295,
2023-07-01,67.000748,-47.034131,1837.51,-0.4521,,,93.187,
2023-08-01,67.000753,-47.034253,1836.84,-2.5823,,,91.5489,
2023-09-01,67.000761,-47.034375,1833.89,-12.2045,,,91.7221,
2023-10-01,67.000766,-47.034451,1832.32,-15.1169,,,92.6599,
2023-11-01,,,,-16.7687,,,90.0552,
2023-12-01,,,,-24.6483,,,83.6148,
2024-01-01,,,,-24.6478,,,93.0751,
2024-02-01,,,,-26.6119,,,86.6366,
2024-03-01,,,,-20.4426,,,82.9547,
2024-04-01,67.00078,-47.035107,1832.24,-14.8433,,,84.8495,
2024-05-01,67.000785,-47.035197,1833.24,-15.8136,,,82.0517,82.8443
2024-06-01,67.000774,-47.035359,1849.07,-4.7306,-4.6473,-4.7421,85.7067,84.7044
2024-07-01,67.000777,-47.03546,1848.59,-3.5888,-3.5223,-3.5823,87.8558,87.1823
2024-08-01,67.000778,-47.035565,1847.82,-5.2916,-5.2164,-5.2841,89.6018,89.1058
2024-09-01,67.000783,-47.03567,1848.38,-8.6944,-8.6142,-8.6965,89.8411,89.5088
2024-10-01,67.000791,-47.035773,1848.48,-19.4439,-19.3209,-19.4422,79.1631,78.8654
2024-11-01,67.0008,-47.035887,1847.85,-22.1383,-22.0161,-22.139,80.5694,80.8603
2024-12-01,67.000802,-47.035991,1846.27,-29.6611,-29.5404,-29.7556,80.1897,80.7083
2025-01-01,67.000803,-47.036097,1846.53,-25.5796,-25.4563,-25.5859,78.6818,71.9953
2025-02-01,67.000805,-47.0362,1847.17,-24.5952,-24.5188,-24.5853,75.7455,
2025-03-01,67.000805,-47.036302,1847.75,-21.2688,-21.1751,-21.2494,80.1196,
2025-04-01,67.000804,-47.036405,1846.71,-15.7878,-15.6916,-15.8029,77.5656,
2025-05-01,67.00081,-47.036506,1846.0,-10.3814,-10.3475,-10.3872,80.0338,
2025-06-01,67.000815,-47.036607,1845.37,-3.8852,-3.8876,-3.912,84.0295,
2025-07-01,67.00082,-47.036708,1845.35,-0.5371,-0.5511,-0.6325,91.2765,
2025-08-01,67.000821,-47.036814,1845.43,-3.0835,-3.0927,-3.1524,92.1387,
2025-09-01,67.000824,-47.036926,1845.4,-9.3352,-9.3334,-9.3486,87.3325,
2025-10-01,67.000828,-47.037037,1844.36,-14.9799,-14.9379,-14.9866,92.0952,
2025-11-01,67.000834,-47.037139,1843.61,-15.4548,-15.4186,-15.4803,84.2609,
2025-12-01,67.000839,-47.037244,1843.88,-20.7688,-20.7306,-20.7929,84.5535,
2026-01-01,67.000841,-47.037349,1844.06,-18.036,-17.987,-17.9641,82.9721,
2026-02-01,67.000843,-47.037454,1844.43,-28.1945,-28.1012,-28.1914,83.8582,
2026-03-01,67.000844,-47.037558,1844.4,-30.4847,-30.4224,-30.3562,83.4779,
2026-04-01,,,,,,,84.9661,
